layer	kind	metric	mean	n
17	v:dependency_swap	mean_delta_effective_rank	37.12595998764038	50
17	v:dependency_swap	mean_delta_rank90	48.84	50
17	v:dependency_swap	wrong_delta_norm	9.210553340911865	50
17	v:locally_corrupted	correct_correct_cosine	0.6364473429322243	50
17	v:locally_corrupted	correct_delta_norm	6.924282598495483	50
17	v:locally_corrupted	correct_wrong_cosine	0.6264982807636261	50
17	v:locally_corrupted	cosine_margin	0.009949062168598173	50
17	v:locally_corrupted	mean_delta_effective_rank	37.12595998764038	50
17	v:locally_corrupted	mean_delta_rank90	48.84	50
17	v:locally_corrupted	wrong_delta_norm	9.33266851425171	50
27	causal:alpha=0.25	base_logp	-1.6503233569860458	50
27	causal:alpha=0.25	correct_gain	0.15621137082576753	50
27	causal:alpha=0.25	correct_logp	-1.4941119861602783	50
27	causal:alpha=0.25	counterfactual_rationale_gain	0.18394278049468993	50
27	causal:alpha=0.25	counterfactual_rationale_logp	-1.466380576491356	50
27	causal:alpha=0.25	dependency_swap_gain	0.1824939113855362	50
27	causal:alpha=0.25	dependency_swap_logp	-1.4678294456005097	50
27	causal:alpha=0.25	locally_corrupted_gain	0.1828324043750763	50
27	causal:alpha=0.25	locally_corrupted_logp	-1.4674909526109696	50
27	causal:alpha=0.25	random_gain	0.0002076166868209839	50
27	causal:alpha=0.25	random_logp	-1.6501157402992248	50
27	causal:alpha=0.5	base_logp	-1.6503233569860458	50
27	causal:alpha=0.5	correct_gain	0.28668902039527894	50
27	causal:alpha=0.5	correct_logp	-1.3636343365907668	50
27	causal:alpha=0.5	counterfactual_rationale_gain	0.35104403614997864	50
27	causal:alpha=0.5	counterfactual_rationale_logp	-1.2992793208360671	50
27	causal:alpha=0.5	dependency_swap_gain	0.3485335439443588	50
27	causal:alpha=0.5	dependency_swap_logp	-1.301789813041687	50
27	causal:alpha=0.5	locally_corrupted_gain	0.35043548822402953	50
27	causal:alpha=0.5	locally_corrupted_logp	-1.2998878687620163	50
27	causal:alpha=0.5	random_gain	0.002762441039085388	50
27	causal:alpha=0.5	random_logp	-1.6475609159469604	50
27	causal:alpha=1	base_logp	-1.6503233569860458	50
27	causal:alpha=1	correct_gain	0.41411177039146424	50
27	causal:alpha=1	correct_logp	-1.2362115865945815	50
27	causal:alpha=1	counterfactual_rationale_gain	0.5719972759485245	50
27	causal:alpha=1	counterfactual_rationale_logp	-1.0783260810375213	50
27	causal:alpha=1	dependency_swap_gain	0.5645408314466477	50
27	causal:alpha=1	dependency_swap_logp	-1.0857825255393982	50
27	causal:alpha=1	locally_corrupted_gain	0.569163863658905	50
27	causal:alpha=1	locally_corrupted_logp	-1.081159493327141	50
27	causal:alpha=1	random_gain	0.013810692429542542	50
27	causal:alpha=1	random_logp	-1.6365126645565033	50
27	h:counterfactual_rationale	correct_correct_cosine	0.6823616402347885	50
27	h:counterfactual_rationale	correct_delta_norm	60.41815116882324	50
27	h:counterfactual_rationale	correct_wrong_cosine	0.6589308984577655	50
27	h:counterfactual_rationale	cosine_margin	0.023430741777022677	50
27	h:counterfactual_rationale	mean_delta_effective_rank	34.06497283935547	50
27	h:counterfactual_rationale	mean_delta_rank90	54.76	50
27	h:counterfactual_rationale	wrong_delta_norm	84.64535499572754	50
27	h:dependency_swap	correct_correct_cosine	0.6823616402347885	50
27	h:dependency_swap	correct_delta_norm	60.41815116882324	50
27	h:dependency_swap	correct_wrong_cosine	0.6605007730424404	50
27	h:dependency_swap	cosine_margin	0.02186086719234784	50
27	h:dependency_swap	mean_delta_effective_rank	34.06497283935547	50
27	h:dependency_swap	mean_delta_rank90	54.76	50
27	h:dependency_swap	wrong_delta_norm	82.68906562805176	50
27	h:locally_corrupted	correct_correct_cosine	0.6823616402347885	50
27	h:locally_corrupted	correct_delta_norm	60.41815116882324	50
27	h:locally_corrupted	correct_wrong_cosine	0.6600184907019139	50
27	h:locally_corrupted	cosine_margin	0.02234314953287442	50
27	h:locally_corrupted	mean_delta_effective_rank	34.06497283935547	50
27	h:locally_corrupted	mean_delta_rank90	54.76	50
27	h:locally_corrupted	wrong_delta_norm	83.45705780029297	50
27	k:counterfactual_rationale	correct_correct_cosine	0.6435335772236189	50
27	k:counterfactual_rationale	correct_delta_norm	17.686332035064698	50
27	k:counterfactual_rationale	correct_wrong_cosine	0.6215093666315079	50
27	k:counterfactual_rationale	cosine_margin	0.02202421059211095	50
27	k:counterfactual_rationale	mean_delta_effective_rank	27.4143505859375	50
27	k:counterfactual_rationale	mean_delta_rank90	41.0	50
27	k:counterfactual_rationale	wrong_delta_norm	24.274517288208006	50
27	k:dependency_swap	correct_correct_cosine	0.6435335772236189	50
27	k:dependency_swap	correct_delta_norm	17.686332035064698	50
27	k:dependency_swap	correct_wrong_cosine	0.6235070721805096	50
27	k:dependency_swap	cosine_margin	0.020026505043109256	50
27	k:dependency_swap	mean_delta_effective_rank	27.4143505859375	50
27	k:dependency_swap	mean_delta_rank90	41.0	50
27	k:dependency_swap	wrong_delta_norm	23.731745147705077	50
27	k:locally_corrupted	correct_correct_cosine	0.6435335772236189	50
27	k:locally_corrupted	correct_delta_norm	17.686332035064698	50
27	k:locally_corrupted	correct_wrong_cosine	0.6223924954235553	50
27	k:locally_corrupted	cosine_margin	0.02114108180006345	50
27	k:locally_corrupted	mean_delta_effective_rank	27.4143505859375	50
27	k:locally_corrupted	mean_delta_rank90	41.0	50
27	k:locally_corrupted	wrong_delta_norm	24.250926055908202	50
27	v:counterfactual_rationale	correct_correct_cosine	0.6688901151220005	50
27	v:counterfactual_rationale	correct_delta_norm	15.445199184417724	50
27	v:counterfactual_rationale	correct_wrong_cosine	0.645644613057375	50
27	v:counterfactual_rationale	cosine_margin	0.023245502064625417	50
27	v:counterfactual_rationale	mean_delta_effective_rank	38.46872745513916	50
27	v:counterfactual_rationale	mean_delta_rank90	52.46	50
27	v:counterfactual_rationale	wrong_delta_norm	20.96221649169922	50
27	v:dependency_swap	correct_correct_cosine	0.6688901151220005	50
27	v:dependency_swap	correct_delta_norm	15.445199184417724	50
27	v:dependency_swap	correct_wrong_cosine	0.6460513530671597	50
27	v:dependency_swap	cosine_margin	0.022838762054840717	50
27	v:dependency_swap	mean_delta_effective_rank	38.46872745513916	50
27	v:dependency_swap	mean_delta_rank90	52.46	50
27	v:dependency_swap	wrong_delta_norm	20.557673034667967	50
27	v:locally_corrupted	correct_correct_cosine	0.6688901151220005	50
27	v:locally_corrupted	correct_delta_norm	15.445199184417724	50
27	v:locally_corrupted	correct_wrong_cosine	0.6468890142440796	50
27	v:locally_corrupted	cosine_margin	0.02200110087792078	50
27	v:locally_corrupted	mean_delta_effective_rank	38.46872745513916	50
27	v:locally_corrupted	mean_delta_rank90	52.46	50
27	v:locally_corrupted	wrong_delta_norm	20.954989433288574	50
35	causal:alpha=0.25	base_logp	-1.6503233569860458	50
35	causal:alpha=0.25	correct_gain	0.049261299967765806	50
35	causal:alpha=0.25	correct_logp	-1.60106205701828	50
35	causal:alpha=0.25	counterfactual_rationale_gain	0.08027223706245422	50
35	causal:alpha=0.25	counterfactual_rationale_logp	-1.5700511199235916	50
35	causal:alpha=0.25	dependency_swap_gain	0.07863743960857392	50
35	causal:alpha=0.25	dependency_swap_logp	-1.571685917377472	50
35	causal:alpha=0.25	locally_corrupted_gain	0.08059368133544922	50
35	causal:alpha=0.25	locally_corrupted_logp	-1.5697296756505965	50
35	causal:alpha=0.25	random_gain	0.0025375163555145263	50
35	causal:alpha=0.25	random_logp	-1.6477858406305312	50
35	causal:alpha=0.5	base_logp	-1.6503233569860458	50
35	causal:alpha=0.5	correct_gain	0.09781992554664612	50
35	causal:alpha=0.5	correct_logp	-1.5525034314393997	50
35	causal:alpha=0.5	counterfactual_rationale_gain	0.1579574453830719	50
35	causal:alpha=0.5	counterfactual_rationale_logp	-1.492365911602974	50
35	causal:alpha=0.5	dependency_swap_gain	0.15463718831539153	50
35	causal:alpha=0.5	dependency_swap_logp	-1.4956861686706544	50
35	causal:alpha=0.5	locally_corrupted_gain	0.15788934946060182	50
35	causal:alpha=0.5	locally_corrupted_logp	-1.492434007525444	50
35	causal:alpha=0.5	random_gain	0.007136282324790954	50
35	causal:alpha=0.5	random_logp	-1.643187074661255	50
35	causal:alpha=1	base_logp	-1.6503233569860458	50
35	causal:alpha=1	correct_gain	0.16422711491584777	50
35	causal:alpha=1	correct_logp	-1.486096242070198	50
35	causal:alpha=1	counterfactual_rationale_gain	0.2777159786224365	50
35	causal:alpha=1	counterfactual_rationale_logp	-1.3726073783636092	50
35	causal:alpha=1	dependency_swap_gain	0.2701771551370621	50
35	causal:alpha=1	dependency_swap_logp	-1.3801462018489838	50
35	causal:alpha=1	locally_corrupted_gain	0.27771525919437406	50
35	causal:alpha=1	locally_corrupted_logp	-1.3726080977916717	50
35	causal:alpha=1	random_gain	0.025735579133033752	50
35	causal:alpha=1	random_logp	-1.624587777853012	50
35	h:counterfactual_rationale	correct_correct_cosine	0.7422157692909243	50
35	h:counterfactual_rationale	correct_delta_norm	50.26287452697754	50
35	h:counterfactual_rationale	correct_wrong_cosine	0.721076940447092	50
35	h:counterfactual_rationale	cosine_margin	0.021138828843832006	50
35	h:counterfactual_rationale	mean_delta_effective_rank	28.070658569335937	50
35	h:counterfactual_rationale	mean_delta_rank90	48.9	50
35	h:counterfactual_rationale	wrong_delta_norm	63.68428192138672	50
35	h:dependency_swap	correct_correct_cosine	0.7422157692909243	50
35	h:dependency_swap	correct_delta_norm	50.26287452697754	50
35	h:dependency_swap	correct_wrong_cosine	0.7245994873344899	50
35	h:dependency_swap	cosine_margin	0.017616281956434245	50
35	h:dependency_swap	mean_delta_effective_rank	28.070658569335937	50
35	h:dependency_swap	mean_delta_rank90	48.9	50
35	h:dependency_swap	wrong_delta_norm	62.54836639404297	50
35	h:locally_corrupted	correct_correct_cosine	0.7422157692909243	50
35	h:locally_corrupted	correct_delta_norm	50.26287452697754	50
35	h:locally_corrupted	correct_wrong_cosine	0.7225863142311573	50
35	h:locally_corrupted	cosine_margin	0.019629455059766765	50
35	h:locally_corrupted	mean_delta_effective_rank	28.070658569335937	50
35	h:locally_corrupted	mean_delta_rank90	48.9	50
35	h:locally_corrupted	wrong_delta_norm	63.65492431640625	50
35	k:counterfactual_rationale	correct_correct_cosine	0.6880097546180091	50
35	k:counterfactual_rationale	correct_delta_norm	39.6321928024292	50
35	k:counterfactual_rationale	correct_wrong_cosine	0.66964131295681	50
35	k:counterfactual_rationale	cosine_margin	0.01836844166119894	50
35	k:counterfactual_rationale	mean_delta_effective_rank	29.486498641967774	50
35	k:counterfactual_rationale	mean_delta_rank90	42.46	50
