layer	kind	metric	mean	n
17	causal:alpha=0.25	base_logp	-1.6503233569860458	50
17	causal:alpha=0.25	correct_gain	0.036163023710250854	50
17	causal:alpha=0.25	correct_logp	-1.614160333275795	50
17	causal:alpha=0.25	counterfactual_rationale_gain	0.05003793478012085	50
17	causal:alpha=0.25	counterfactual_rationale_logp	-1.600285422205925	50
17	causal:alpha=0.25	dependency_swap_gain	0.04920474410057068	50
17	causal:alpha=0.25	dependency_swap_logp	-1.601118612885475	50
17	causal:alpha=0.25	locally_corrupted_gain	0.04927291393280029	50
17	causal:alpha=0.25	locally_corrupted_logp	-1.6010504430532455	50
17	causal:alpha=0.25	random_gain	0.0033275485038757324	50
17	causal:alpha=0.25	random_logp	-1.64699580848217	50
17	causal:alpha=0.5	base_logp	-1.6503233569860458	50
17	causal:alpha=0.5	correct_gain	0.08030344307422638	50
17	causal:alpha=0.5	correct_logp	-1.5700199139118194	50
17	causal:alpha=0.5	counterfactual_rationale_gain	0.11511912584304809	50
17	causal:alpha=0.5	counterfactual_rationale_logp	-1.5352042311429976	50
17	causal:alpha=0.5	dependency_swap_gain	0.11363405406475068	50
17	causal:alpha=0.5	dependency_swap_logp	-1.5366893029212951	50
17	causal:alpha=0.5	locally_corrupted_gain	0.11325352907180786	50
17	causal:alpha=0.5	locally_corrupted_logp	-1.537069827914238	50
17	causal:alpha=0.5	random_gain	0.012325624823570252	50
17	causal:alpha=0.5	random_logp	-1.6379977321624757	50
17	causal:alpha=1	base_logp	-1.6503233569860458	50
17	causal:alpha=1	correct_gain	0.22134720623493195	50
17	causal:alpha=1	correct_logp	-1.4289761507511138	50
17	causal:alpha=1	counterfactual_rationale_gain	0.22416294872760772	50
17	causal:alpha=1	counterfactual_rationale_logp	-1.426160408258438	50
17	causal:alpha=1	dependency_swap_gain	0.2321326506137848	50
17	causal:alpha=1	dependency_swap_logp	-1.418190706372261	50
17	causal:alpha=1	locally_corrupted_gain	0.22235242426395416	50
17	causal:alpha=1	locally_corrupted_logp	-1.4279709327220917	50
17	causal:alpha=1	random_gain	0.05088999569416046	50
17	causal:alpha=1	random_logp	-1.5994333612918854	50
17	h:counterfactual_rationale	correct_correct_cosine	0.6984046472112339	50
17	h:counterfactual_rationale	correct_delta_norm	15.59478229522705	50
17	h:counterfactual_rationale	correct_wrong_cosine	0.6883055603504181	50
17	h:counterfactual_rationale	cosine_margin	0.010099086860815685	50
17	h:counterfactual_rationale	mean_delta_effective_rank	32.82006656646728	50
17	h:counterfactual_rationale	mean_delta_rank90	57.52	50
17	h:counterfactual_rationale	wrong_delta_norm	22.08912914276123	50
17	h:dependency_swap	correct_correct_cosine	0.6984046472112339	50
17	h:dependency_swap	correct_delta_norm	15.59478229522705	50
17	h:dependency_swap	correct_wrong_cosine	0.6882827065885067	50
17	h:dependency_swap	cosine_margin	0.010121940622727078	50
17	h:dependency_swap	mean_delta_effective_rank	32.82006656646728	50
17	h:dependency_swap	mean_delta_rank90	57.52	50
17	h:dependency_swap	wrong_delta_norm	21.65706123352051	50
