layer	condition	metric	mean	ci_low	ci_high	n
25	dependency_swap:alpha=1:window=1	control_logp	-0.6650551456820082	-0.704769680728377	-0.6256017698664909	108
25	dependency_swap:alpha=1:window=1	correct_logp	-0.6233305743447056	-0.6600350806593067	-0.586861094194292	108
25	dependency_swap:alpha=1:window=1	necessity_change	0.00025020857100133543	-0.000560905232473656	0.001048236774901549	108
25	dependency_swap:alpha=1:window=1	necessity_logp	-0.6230803657737043	-0.6582790676124946	-0.58658910088793	108
25	dependency_swap:alpha=1:window=1	paired_logp_gap	0.04172457133730253	0.03081195187858409	0.05343244031968491	108
25	dependency_swap:alpha=1:window=1	random_gain	-0.00026223422200591476	-0.0010065595101979043	0.00044617664275897794	108
25	dependency_swap:alpha=1:window=1	rescue_gain	-4.848658486648842e-05	-0.0007501962732661653	0.0006903855233556685	108
25	dependency_swap:alpha=1:window=1	rescue_logp	-0.6651036322668746	-0.7039202026539931	-0.6267871510133975	108
25	dependency_swap:alpha=1:window=1	residual_norm	13.67968448223891	11.92541612011415	15.702312941573284	108
25	dependency_swap:alpha=1:window=128	control_logp	-0.6650551456820082	-0.703105190930957	-0.6245198580919317	108
25	dependency_swap:alpha=1:window=128	correct_logp	-0.6233305743447056	-0.6603902493362074	-0.5866375205382981	108
25	dependency_swap:alpha=1:window=128	necessity_change	-0.016431545355805644	-0.025778656601215953	-0.007896876590395417	108
25	dependency_swap:alpha=1:window=128	necessity_logp	-0.6397621197005113	-0.6753906435574646	-0.6024926566587829	108
25	dependency_swap:alpha=1:window=128	paired_logp_gap	0.04172457133730253	0.030944264142049684	0.053993639429272315	108
25	dependency_swap:alpha=1:window=128	random_gain	-0.0021845517611062087	-0.005165394326602971	0.00019656578423800204	108
25	dependency_swap:alpha=1:window=128	rescue_gain	0.013555723483915682	0.004935068909630731	0.02297598611977364	108
25	dependency_swap:alpha=1:window=128	rescue_logp	-0.6514994221980925	-0.689925231963948	-0.612131489633962	108
25	dependency_swap:alpha=1:window=128	residual_norm	13.67968448223891	11.959216058199052	15.792487344752857	108
25	dependency_swap:alpha=1:window=16	control_logp	-0.6650551456820082	-0.7042229061290898	-0.6244524078754087	108
25	dependency_swap:alpha=1:window=16	correct_logp	-0.6233305743447056	-0.65824022502121	-0.5866837492868029	108
25	dependency_swap:alpha=1:window=16	necessity_change	0.0044454457583250825	0.0025821148038462356	0.006301044396780154	108
25	dependency_swap:alpha=1:window=16	necessity_logp	-0.6188851285863806	-0.6544571217804871	-0.5829258761679134	108
25	dependency_swap:alpha=1:window=16	paired_logp_gap	0.04172457133730253	0.030785077013489273	0.05379837355403987	108
25	dependency_swap:alpha=1:window=16	random_gain	0.000214708486089	-0.0006556567873943735	0.0010996681396608	108
25	dependency_swap:alpha=1:window=16	rescue_gain	-0.004480834912370752	-0.006142011226189357	-0.0028060531416149053	108
25	dependency_swap:alpha=1:window=16	rescue_logp	-0.6695359805943789	-0.7102094296228003	-0.6289277531517048	108
25	dependency_swap:alpha=1:window=16	residual_norm	13.67968448223891	11.88826743375372	15.733096768072357	108
25	dependency_swap:alpha=1:window=32	control_logp	-0.6650551456820082	-0.7046479511592123	-0.625669284903065	108
25	dependency_swap:alpha=1:window=32	correct_logp	-0.6233305743447056	-0.6586342030032366	-0.5865384507337931	108
25	dependency_swap:alpha=1:window=32	necessity_change	0.004047725763585832	0.0016102837019220547	0.006547780610896922	108
25	dependency_swap:alpha=1:window=32	necessity_logp	-0.6192828485811198	-0.6543297989569881	-0.5841720284756136	108
25	dependency_swap:alpha=1:window=32	paired_logp_gap	0.04172457133730253	0.03095743936245088	0.05352328877758095	108
25	dependency_swap:alpha=1:window=32	random_gain	-0.00048727514567198577	-0.0014273346850165614	0.000427847741930573	108
25	dependency_swap:alpha=1:window=32	rescue_gain	-0.004998753192248168	-0.00754732735524023	-0.002424194084273445	108
25	dependency_swap:alpha=1:window=32	rescue_logp	-0.6700538988742564	-0.7113001948394985	-0.631561947055161	108
25	dependency_swap:alpha=1:window=32	residual_norm	13.67968448223891	11.909006365305848	15.685893639094298	108
25	dependency_swap:alpha=1:window=4	control_logp	-0.6650551456820082	-0.7041912848681763	-0.6237342896043426	108
