layer	condition	metric	mean	ci_low	ci_high	n
9	counterfactual_rationale:alpha=1	control_logp	-0.628333514901223	-0.6669809373337086	-0.590361992597442	108
9	counterfactual_rationale:alpha=1	correct_logp	-0.6233305743447056	-0.6587230856426888	-0.5849441038686092	108
9	counterfactual_rationale:alpha=1	necessity_change	0.0036683835917048985	0.0018468535470741766	0.005728487832540714	108
9	counterfactual_rationale:alpha=1	necessity_logp	-0.6196621907530008	-0.6563618387751006	-0.5840943980306663	108
9	counterfactual_rationale:alpha=1	paired_logp_gap	0.005002940556517354	-0.0002483943166832129	0.012153982267611548	108
9	counterfactual_rationale:alpha=1	random_gain	-0.00010791903844586125	-0.0009496889146113837	0.0007152597833838723	108
9	counterfactual_rationale:alpha=1	rescue_gain	-0.003986795053437904	-0.0059065314182252795	-0.002143337470651778	108
9	counterfactual_rationale:alpha=1	rescue_logp	-0.6323203099546609	-0.6671386653488433	-0.5957392955509325	108
9	counterfactual_rationale:alpha=1	residual_norm	1.2035532218438607	1.1293714794916687	1.2800479980875497	108
9	dependency_swap:alpha=1	control_logp	-0.6650551456820082	-0.7044529810133907	-0.6262619240692369	108
9	dependency_swap:alpha=1	correct_logp	-0.6233305743447056	-0.6596178726914028	-0.5873436769884495	108
9	dependency_swap:alpha=1	necessity_change	0.003364061453828105	-0.00018269051280286576	0.006217453542544885	108
9	dependency_swap:alpha=1	necessity_logp	-0.6199665128908776	-0.6554442003886732	-0.5821304289762068	108
9	dependency_swap:alpha=1	paired_logp_gap	0.04172457133730253	0.03136703027067361	0.05394756049262704	108
9	dependency_swap:alpha=1	random_gain	0.00034462577766842313	-0.0008633165827227964	0.001560738017023711	108
9	dependency_swap:alpha=1	rescue_gain	-0.004827355483063945	-0.007731700360912968	-0.002385195386078623	108
9	dependency_swap:alpha=1	rescue_logp	-0.6698825011650721	-0.7101218304769309	-0.6301218857712767	108
9	dependency_swap:alpha=1	residual_norm	1.5420686431505062	1.4231804007319389	1.667767150989837	108
9	locally_corrupted:alpha=1	control_logp	-0.6236817029615244	-0.6597251003366653	-0.5862199211251681	108
9	locally_corrupted:alpha=1	correct_logp	-0.6233305743447056	-0.6580602356612131	-0.5888950702009931	108
9	locally_corrupted:alpha=1	necessity_change	0.0017902591714152583	0.0005058223140184526	0.0031651158023763555	108
9	locally_corrupted:alpha=1	necessity_logp	-0.6215403151732904	-0.656590521790915	-0.5865670077951143	108
9	locally_corrupted:alpha=1	paired_logp_gap	0.00035112861681867527	-0.0029299745025734105	0.004433497100102679	108
9	locally_corrupted:alpha=1	random_gain	-0.00012202726470099555	-0.0009447012545058021	0.0007636427499905774	108
