id,euclidean_correct_correct_mean,euclidean_correct_wrong_mean,euclidean_correct_shuffled_mean,euclidean_wrong_auc,euclidean_shuffled_auc,phf_cosine_correct_correct_mean,phf_cosine_correct_wrong_mean,phf_cosine_correct_shuffled_mean,phf_cosine_wrong_auc,phf_cosine_shuffled_auc,sinkhorn_correct_correct_mean,sinkhorn_correct_wrong_mean,sinkhorn_correct_shuffled_mean,sinkhorn_wrong_auc,sinkhorn_shuffled_auc,fgw_correct_correct_mean,fgw_correct_wrong_mean,fgw_correct_shuffled_mean,fgw_wrong_auc,fgw_shuffled_auc,uot_objective_correct_correct_mean,uot_objective_correct_wrong_mean,uot_objective_correct_shuffled_mean,uot_objective_wrong_auc,uot_objective_shuffled_auc,uot_transport_cost_raw_correct_correct_mean,uot_transport_cost_raw_correct_wrong_mean,uot_transport_cost_raw_correct_shuffled_mean,uot_transport_cost_raw_wrong_auc,uot_transport_cost_raw_shuffled_auc,uot_transport_cost_normalized_correct_correct_mean,uot_transport_cost_normalized_correct_wrong_mean,uot_transport_cost_normalized_correct_shuffled_mean,uot_transport_cost_normalized_wrong_auc,uot_transport_cost_normalized_shuffled_auc,uot_mass_correct_correct_mean,uot_mass_correct_wrong_mean,uot_mass_correct_shuffled_mean,uot_mass_wrong_auc,uot_mass_shuffled_auc
0,0.2087504044175148,0.23609936609864235,0.19145214185118675,0.7916666666666666,0.4583333333333333,0.034382437666257225,0.04070102609694004,0.030069970525801182,0.625,0.4166666666666667,0.03585207307090362,0.038247743621468544,0.03183481702581048,0.5,0.4166666666666667,0.027708638459444046,0.028613736387342215,0.025330170057713985,0.5,0.4166666666666667,0.24449361115694046,0.2466391623020172,0.2418493516743183,0.5,0.4166666666666667,0.03751329953471819,0.04062856361269951,0.03389552142471075,0.5,0.4166666666666667,0.032841115879515805,0.0355821093544364,0.029584751930087805,0.5,0.4166666666666667,1.145003855228424,1.141956478357315,1.1487602591514587,0.5,0.4166666666666667
1,0.22441493843992552,0.2480013594031334,0.1939072050154209,0.5833333333333334,0.375,0.03790089022368193,0.04404768347740173,0.03074967465363443,0.625,0.375,0.03437249734997749,0.03395446529611945,0.028953855158761144,0.5,0.5,0.024164142087101936,0.02356361271813512,0.020920088049024343,0.5,0.4583333333333333,0.24110842496156693,0.24120325222611427,0.23739618062973022,0.5416666666666666,0.5,0.036722670309245586,0.03760335221886635,0.03180800611153245,0.5416666666666666,0.5,0.03206430127223333,0.03273221803829074,0.027648643357679248,0.5416666666666666,0.5,1.1498108506202698,1.1496773958206177,1.1550851464271545,0.5416666666666666,0.5
2,0.18127573281526566,0.25459612905979156,0.1570767592638731,1.0,0.375,0.02432067847500245,0.045005979016423225,0.01836540549993515,1.0,0.375,0.032347299779454865,0.046810599975287914,0.02355650532990694,0.9166666666666666,0.2916666666666667,0.0251170393700401,0.03273536032065749,0.020179982064291835,0.7916666666666666,0.2916666666666667,0.2413651098807653,0.25195952504873276,0.23503763228654861,0.9583333333333334,0.2916666666666667,0.034296205577751,0.04994400031864643,0.025576714891940355,0.9583333333333334,0.2916666666666667,0.029907217249274254,0.044043758884072304,0.0221739849075675,0.9583333333333334,0.2916666666666667,1.1494478185971577,1.134398877620697,1.1584360003471375,0.9583333333333334,0.2916666666666667
3,0.17840671663482985,0.21135536581277847,0.1698268409818411,0.8333333333333334,0.4166666666666667,0.019786661490797997,0.026945908553898335,0.018233155482448637,1.0,0.4166666666666667,0.024508684563140076,0.030433849897235632,0.02146038319915533,0.75,0.3333333333333333,0.021206801912436884,0.02417432749643922,0.020093827974051237,0.75,0.4166666666666667,0.2349817231297493,0.23887456953525543,0.23274949193000793,0.75,0.375,0.02790022548288107,0.034450994804501534,0.024639872834086418,0.75,0.3333333333333333,0.02412021377434333,0.029882486909627914,0.021243153838440776,0.75,0.3333333333333333,1.1585159301757812,1.1529863476753235,1.161686658859253,0.75,0.375
4,0.19902395208676657,0.24308981373906136,0.17238614708185196,0.8333333333333334,0.4583333333333333,0.02543861713881294,0.035409624222666025,0.019379878416657448,0.8333333333333334,0.4583333333333333,0.02668342475468914,0.03277394222095609,0.020893658977001905,0.7083333333333334,0.4166666666666667,0.01941235704968373,0.02274757158011198,0.016380031825974584,0.7083333333333334,0.375,0.238491324086984,0.2430998757481575,0.23410119116306305,0.7083333333333334,0.4166666666666667,0.029535263311117887,0.036215854808688164,0.023125245701521635,0.7083333333333334,0.4166666666666667,0.025675808389981587,0.03163668420165777,0.02000623510684818,0.7083333333333334,0.4166666666666667,1.1535305579503377,1.1469843685626984,1.1597664654254913,0.7083333333333334,0.4166666666666667
5,0.20991931607325873,0.2304013855755329,0.1830520462244749,0.5833333333333334,0.375,0.02993084490299225,0.03423000406473875,0.02455965569242835,0.5833333333333334,0.375,0.03623611976703008,0.04100040066987276,0.032495570834726095,0.6666666666666666,0.4166666666666667,0.0285097931822141,0.030139679554849863,0.026458756998181343,0.625,0.4166666666666667,0.240159181257089,0.242058377712965,0.23721731454133987,0.5833333333333334,0.375,0.039955125811199345,0.04512492846697569,0.03568847756832838,0.6666666666666666,0.4166666666666667,0.03476271188507477,0.03930642269551754,0.030932174529880285,0.6666666666666666,0.4166666666666667,1.151160995165507,1.148463398218155,1.1553398370742798,0.5833333333333334,0.375
6,0.1634031261006991,0.2169315218925476,0.15186347626149654,0.9166666666666666,0.4166666666666667,0.018735884067912895,0.03179876133799553,0.016561612486839294,0.9583333333333334,0.4583333333333333,0.022393447967867058,0.0320737911388278,0.019383829785510898,0.7916666666666666,0.4583333333333333,0.018234339232246082,0.023425585124641657,0.01671175705268979,0.7916666666666666,0.4583333333333333,0.2359794701139132,0.24315806850790977,0.23381653055548668,0.7916666666666666,0.4583333333333333,0.02504152711480856,0.035487277433276176,0.02177349920384586,0.7916666666666666,0.4583333333333333,0.02165941537047426,0.03098884876817465,0.018816913361661136,0.7916666666666666,0.4583333333333333,1.1570985317230225,1.1469016671180725,1.1601707935333252,0.7916666666666666,0.4583333333333333
7,0.16206311558683714,0.20887842401862144,0.14497672952711582,0.75,0.375,0.020994143870969612,0.0273954039439559,0.01601770706474781,0.7083333333333334,0.375,0.03141558760156234,0.03383038938045502,0.023609960451722145,0.5,0.375,0.024305276572704315,0.025071735493838787,0.02026329329237342,0.5,0.3333333333333333,0.2373549516002337,0.2391117364168167,0.23209358751773834,0.5416666666666666,0.3333333333333333,0.0319723937039574,0.03661131765693426,0.024598172632977366,0.5416666666666666,0.3333333333333333,0.027804419087866943,0.03177407197654247,0.021245694253593683,0.5416666666666666,0.3333333333333333,1.1551426847775776,1.1526488065719604,1.1626166701316833,0.5416666666666666,0.3333333333333333
8,0.21836147954066595,0.22280310094356537,0.1916888039559126,0.5416666666666666,0.4166666666666667,0.031948697132368885,0.03305498091503978,0.026732567697763443,0.5416666666666666,0.3333333333333333,0.034330375492572784,0.0340173258446157,0.02869558660313487,0.5,0.4166666666666667,0.024107797692219417,0.023710872512310743,0.02093499293550849,0.5,0.4583333333333333,0.24179285764694214,0.24183011427521706,0.23793382197618484,0.5,0.4166666666666667,0.036323449884851776,0.03692876920104027,0.031190201407298446,0.4583333333333333,0.4166666666666667,0.031669274903833866,0.032176108099520206,0.027159591089002788,0.4583333333333333,0.4166666666666667,1.148840308189392,1.1487876772880554,1.1543220579624176,0.5,0.4166666666666667
9,0.17564326276381811,0.22916505858302116,0.14746625535190105,1.0,0.16666666666666666,0.019903183293839295,0.03147883852943778,0.014985925983637571,1.0,0.20833333333333334,0.024386034967998665,0.03332268539816141,0.01746814139187336,0.875,0.20833333333333334,0.021059236799677212,0.025689260568469763,0.016967762727290392,0.8333333333333334,0.16666666666666666,0.23554195712010065,0.2424999698996544,0.2304324209690094,0.875,0.16666666666666666,0.026177403206626575,0.036834727972745895,0.019157616887241602,0.875,0.25,0.02263491942236821,0.03211540775373578,0.016495094052515924,0.875,0.25,1.1577195525169373,1.147836446762085,1.1649776101112366,0.875,0.16666666666666666
10,0.1711891827483972,0.19608089327812195,0.14779997058212757,0.625,0.4166666666666667,0.019098534093548853,0.025164271239191294,0.016164920409210026,0.6666666666666666,0.4166666666666667,0.022201906734456617,0.024938121438026428,0.01786064449697733,0.625,0.375,0.01687402588625749,0.018320351373404264,0.014667693758383393,0.625,0.375,0.23441891620556513,0.236598689109087,0.2312522642314434,0.625,0.375,0.025110777467489243,0.02826039493083954,0.020303709898144007,0.625,0.375,0.0216981020445625,0.02446178114041686,0.01751280657481402,0.625,0.375,1.1593152284622192,1.1562191545963287,1.1638132333755493,0.625,0.375
11,0.1940766473611196,0.20507431030273438,0.1655633430927992,0.7083333333333334,0.3333333333333333,0.02385240172346433,0.025557153392583132,0.018230605288408697,0.625,0.3333333333333333,0.030108533489207428,0.030364578124135733,0.02232325973454863,0.5,0.2916666666666667,0.020207360697289307,0.020223270636051893,0.01594997080974281,0.5,0.25,0.24262982358535132,0.24302950873970985,0.23702754452824593,0.5416666666666666,0.3333333333333333,0.03230020528038343,0.03314478928223252,0.02466189826373011,0.5416666666666666,0.3333333333333333,0.028172143114109833,0.028913080226629972,0.021421604556962848,0.5416666666666666,0.3333333333333333,1.147651771704356,1.1470842361450195,1.1556097269058228,0.5416666666666666,0.3333333333333333
12,0.17353318880001703,0.2154674381017685,0.154458275064826,0.9166666666666666,0.3333333333333333,0.021222789771854877,0.03070139279589057,0.01818883023224771,0.9583333333333334,0.375,0.029560305799047153,0.03920995630323887,0.024674899643287063,0.7083333333333334,0.2916666666666667,0.022047495935112238,0.027182957623153925,0.019170364597812295,0.7083333333333334,0.2916666666666667,0.24162870148817697,0.24878233298659325,0.23791896179318428,0.7083333333333334,0.2916666666666667,0.031291721078256764,0.04156055208295584,0.026360020972788334,0.75,0.2916666666666667,0.0272968802601099,0.03651612438261509,0.022885170066729188,0.75,0.2916666666666667,1.1490736206372578,1.1389119923114777,1.1543432474136353,0.7083333333333334,0.2916666666666667
13,0.19403065741062164,0.22365959733724594,0.17502607963979244,0.7916666666666666,0.4166666666666667,0.024949070531874895,0.03261903207749128,0.02138317609205842,0.8333333333333334,0.375,0.02967164075622956,0.03529161913320422,0.025273384992033243,0.6666666666666666,0.4583333333333333,0.02022962039336562,0.023237525019794703,0.017753456952050328,0.625,0.4583333333333333,0.2418473164240519,0.24624786153435707,0.23872854560613632,0.6666666666666666,0.4583333333333333,0.031181725673377514,0.03792531928047538,0.027009525569155812,0.6666666666666666,0.4583333333333333,0.02720965739960472,0.03324868902564049,0.023510258411988616,0.6666666666666666,0.4583333333333333,1.1487630407015483,1.1425125300884247,1.1531932651996613,0.6666666666666666,0.4583333333333333
14,0.18590530008077621,0.2267567329108715,0.16923809610307217,0.8333333333333334,0.5833333333333334,0.022838524853189785,0.03354272246360779,0.021296314196661115,0.9166666666666666,0.625,0.027161894055704277,0.03695960994809866,0.025239007198251784,0.7916666666666666,0.75,0.022629907354712486,0.027791846077889204,0.02138457540422678,0.7916666666666666,0.75,0.236152745783329,0.24332207441329956,0.23454517126083374,0.7916666666666666,0.75,0.029977404822905857,0.04031039169058204,0.027381579158827662,0.7916666666666666,0.75,0.02592061460018158,0.0351938265375793,0.023728826199658215,0.7916666666666666,0.75,1.1568520665168762,1.1466678977012634,1.1591348946094513,0.7916666666666666,0.75
15,0.13685566311081251,0.21725569665431976,0.11965131014585495,1.0,0.2916666666666667,0.013165800832211971,0.029438195750117302,0.010127590619958937,1.0,0.2916666666666667,0.023279109348853428,0.044415103271603584,0.017986878287047148,1.0,0.25,0.020696195773780346,0.03248041868209839,0.01782304630614817,1.0,0.25,0.2354059840242068,0.25084224343299866,0.2317293956875801,1.0,0.25,0.02545881054053704,0.047589048743247986,0.02002178644761443,1.0,0.25,0.022033547516912222,0.04189659096300602,0.01725879404693842,1.0,0.25,1.157912790775299,1.1359860599040985,1.1631354093551636,1.0,0.25
16,0.14981420834859213,0.1679018698632717,0.1246202876791358,0.625,0.375,0.015280312392860651,0.017579870764166117,0.011530133720953017,0.625,0.375,0.02049563716476162,0.02128696721047163,0.015826537972316146,0.5416666666666666,0.3333333333333333,0.018572854964683454,0.018815050832927227,0.015854276018217206,0.5416666666666666,0.3333333333333333,0.22968764106432596,0.23041921854019165,0.22641246020793915,0.5416666666666666,0.375,0.022553404482702415,0.023891170043498278,0.017877533100545406,0.5416666666666666,0.3333333333333333,0.01937309466302395,0.020551871275529265,0.015315342228859663,0.5416666666666666,0.3333333333333333,1.1660347978274028,1.1649958193302155,1.1706874072551727,0.5416666666666666,0.375
17,0.15674055616060892,0.1795065961778164,0.1490489635616541,0.7083333333333334,0.2916666666666667,0.01887417600179712,0.02373835537582636,0.01625975570641458,0.7083333333333334,0.3333333333333333,0.023106261777381103,0.027057518251240253,0.01949445577338338,0.5,0.2916666666666667,0.018665941742559273,0.020698125939816236,0.017074215691536665,0.5416666666666666,0.2916666666666667,0.23476957778135935,0.23778195679187775,0.23241961002349854,0.5833333333333334,0.2916666666666667,0.02562729362398386,0.029974836856126785,0.021942913997918367,0.5,0.2916666666666667,0.022174428527553875,0.026021110359579325,0.018915470456704497,0.5,0.2916666666666667,1.158816675345103,1.1545381844043732,1.1621549725532532,0.5833333333333334,0.2916666666666667
18,0.16486951212088266,0.19714615866541862,0.13717475533485413,0.75,0.3333333333333333,0.01906725950539112,0.02665005112066865,0.013803626643493772,0.8333333333333334,0.3333333333333333,0.023094965455432732,0.030665116850286722,0.016813512542285025,0.7083333333333334,0.3333333333333333,0.018389800408234198,0.022232795134186745,0.014706773217767477,0.7083333333333334,0.3333333333333333,0.23491686582565308,0.24059728160500526,0.23010770976543427,0.7916666666666666,0.3333333333333333,0.02474134477476279,0.03368066297844052,0.018383795744739473,0.7916666666666666,0.3333333333333333,0.02142233184228341,0.029295204672962427,0.015853176009841263,0.7916666666666666,0.3333333333333333,1.1586073239644368,1.1505390107631683,1.165438711643219,0.7916666666666666,0.3333333333333333
19,0.20181354880332947,0.30579040944576263,0.1983925774693489,1.0,0.5,0.030390017665922642,0.06392747070640326,0.03170944284647703,1.0,0.5,0.02923357766121626,0.06652392260730267,0.030130929313600063,1.0,0.5833333333333334,0.020695782576998074,0.040612257085740566,0.021567213349044323,1.0,0.625,0.2391016980012258,0.2644219249486923,0.23975329473614693,1.0,0.5833333333333334,0.03186451829969883,0.06664871424436569,0.03230299009010196,1.0,0.5833333333333334,0.027711825134853523,0.05968813877552748,0.028091553132981062,1.0,0.5833333333333334,1.152663032213847,1.1166953444480896,1.1517371833324432,1.0,0.5833333333333334
20,0.18745182702938715,0.20719736441969872,0.17102076206356287,0.7083333333333334,0.5833333333333334,0.023920850828289986,0.026617851108312607,0.02151239401428029,0.6666666666666666,0.5416666666666666,0.030911509258051712,0.033447894267737865,0.028276091907173395,0.625,0.625,0.02330893153945605,0.024309495696797967,0.02144641475751996,0.625,0.625,0.24266587446133295,0.2449546419084072,0.2409522719681263,0.625,0.625,0.03374714062859615,0.03666873089969158,0.030788819422014058,0.625,0.625,0.029430972101787727,0.032142179319635034,0.02696288173319772,0.625,0.625,1.1476005514462788,1.1443495750427246,1.1500346958637238,0.625,0.625
21,0.13566075141231218,0.17947999387979507,0.1220878753811121,1.0,0.4166666666666667,0.012755686805273095,0.01958309719339013,0.010405291162896901,1.0,0.4166666666666667,0.017208479810506105,0.023625262547284365,0.0141102010384202,0.7083333333333334,0.4166666666666667,0.01850581696877877,0.021814115811139345,0.016929549630731344,0.6666666666666666,0.4166666666666667,0.23045444736878076,0.23540332913398743,0.22810620442032814,0.75,0.4166666666666667,0.019404008674124878,0.0266488054767251,0.016111932462081313,0.7916666666666666,0.4166666666666667,0.016685499499241512,0.023022400680929422,0.013823149027302861,0.7916666666666666,0.4166666666666667,1.1649464964866638,1.1579169929027557,1.1682820320129395,0.75,0.4166666666666667
22,0.16237560038765272,0.1945827715098858,0.13622677884995937,0.6666666666666666,0.375,0.018201646705468495,0.024088700767606497,0.012988534872420132,0.6666666666666666,0.375,0.02580777881667018,0.027203392703086138,0.017919635633006692,0.5416666666666666,0.375,0.022722696730246145,0.02321344381198287,0.0184246557764709,0.5416666666666666,0.375,0.23749475926160812,0.23896122723817825,0.23195622488856316,0.5416666666666666,0.375,0.027852067723870277,0.030370459891855717,0.01995439874008298,0.5416666666666666,0.375,0.024249115648368996,0.026373466942459345,0.01724413561169058,0.5416666666666666,0.375,1.1549457708994548,1.1528630554676056,1.1628132164478302,0.5416666666666666,0.375
